season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2022-23,31,1,Cédric Alves Soares,DEF,Fulham,9,8,0,2023-04-15T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42
2022-23,31,2,Bernd Leno,GK,Fulham,9,8,0,2023-04-15T14:00:00Z,90,3,0,0,0,1,0,19,42.6,0.0,0.0,4.3,0.0,0.0,0.0,1.31,1,46
2022-23,31,3,Granit Xhaka,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,90,2,0,0,0,2,0,18,11.0,18.4,2.0,3.1,0.0,0.04,0.04,1.75,1,49
2022-23,31,4,Mohamed Elneny,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41
2022-23,31,5,Rob Holding,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,90,1,0,0,0,2,0,13,24.8,0.9,17.0,4.3,0.06,0.01,0.07,1.75,1,42
2022-23,31,6,Thomas Partey,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,66,1,0,0,0,2,0,7,2.8,3.3,0.0,0.6,0.0,0.05,0.05,1.43,1,47
2022-23,31,7,Martin Ødegaard,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,89,10,1,0,0,2,3,30,46.4,9.5,34.0,9.0,0.57,0.17,0.74,1.75,1,67
2022-23,31,8,Kieran Tierney,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,84,1,0,0,0,2,0,17,17.8,7.4,4.0,2.9,0.0,0.03,0.03,1.75,1,46
2022-23,31,9,Nicolas Pépé,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53
2022-23,31,10,Benjamin White,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,90,6,0,1,0,2,2,28,34.6,14.3,2.0,5.1,0.0,0.36,0.36,1.75,1,49
2022-23,31,11,Eddie Nketiah,FWD,Arsenal,1,19,0,2023-04-16T13:00:00Z,1,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64
2022-23,31,12,Emile Smith Rowe,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56
2022-23,31,13,Bukayo Saka,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,90,0,0,0,0,2,0,-5,4.8,14.3,38.0,5.7,1.03,0.14,1.17,1.75,1,86
2022-23,31,14,Takehiro Tomiyasu,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42
2022-23,31,15,Aaron Ramsdale,GK,Arsenal,1,19,0,2023-04-16T13:00:00Z,90,1,0,0,0,2,0,13,14.4,0.0,0.0,1.4,0.0,0.0,0.0,1.75,1,49
2022-23,31,16,Gabriel dos Santos Magalhães,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,90,1,0,0,0,2,0,21,26.8,1.3,6.0,3.4,0.14,0.02,0.16,1.75,1,53
2022-23,31,17,Nuno Varela Tavares,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,31,18,Albert Sambi Lokonga,MID,Crystal Palace,7,17,0,2023-04-15T14:00:00Z,5,1,0,0,0,0,0,2,0.4,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0,43
2022-23,31,19,Gabriel Martinelli Silva,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,84,5,0,1,0,2,0,21,31.4,42.1,28.0,10.2,0.09,0.68,0.77,1.75,1,68
2022-23,31,20,Pablo Marí Villar,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,31,21,Ainsley Maitland-Niles,MID,Southampton,17,7,1,2023-04-15T14:00:00Z,90,2,0,0,0,2,0,11,24.4,18.9,0.0,4.3,0.0,0.03,0.03,0.81,1,48
2022-23,31,22,Lucas Torreira di Pascua,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,31,23,Reiss Nelson,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,5,1,0,0,0,0,0,4,1.0,1.2,0.0,0.2,0.0,0.01,0.01,0.0,0,47
2022-23,31,24,Matt Turner,GK,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38
2022-23,31,25,Fábio Ferreira Vieira,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,5,1,0,0,0,0,0,4,2.2,14.2,0.0,1.6,0.0,0.08,0.08,0.0,0,56
2022-23,31,26,William Saliba,DEF,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2022-23,31,27,Marcus Oliveira Alencar,MID,Arsenal,1,19,0,2023-04-16T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46
2022-23,31,28,Gabriel Fernando de Jesus,FWD,Arsenal,1,19,0,2023-04-16T13:00:00Z,66,7,1,0,0,2,2,28,35.2,4.4,33.0,7.3,0.93,0.02,0.95,1.43,1,81
