season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2024-25,7,1,Fábio Ferreira Vieira,MID,Arsenal,1,17,1,2024-10-05T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2024-25,7,2,Gabriel Fernando de Jesus,FWD,Arsenal,1,17,1,2024-10-05T14:00:00Z,59,1,0,0,0,1,0,9,1.8,31.5,16.0,4.9,0.38,0.06,0.44,0.32,1,68
2024-25,7,3,Gabriel dos Santos Magalhães,DEF,Arsenal,1,17,1,2024-10-05T14:00:00Z,90,2,0,0,0,1,0,5,4.6,3.7,16.0,2.4,0.2,0.04,0.24,0.65,1,62
2024-25,7,4,Kai Havertz,FWD,Arsenal,1,17,1,2024-10-05T14:00:00Z,90,8,1,0,0,1,2,34,37.6,14.9,82.0,13.5,0.77,0.04,0.81,0.65,1,82
2024-25,7,5,Karl Hein,GK,Arsenal,1,17,1,2024-10-05T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2024-25,7,6,Jurriën Timber,DEF,Arsenal,1,17,1,2024-10-05T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55
2024-25,7,7,Jorge Luiz Frello Filho,MID,Arsenal,1,17,1,2024-10-05T14:00:00Z,60,2,0,0,0,1,0,17,4.0,19.5,1.0,2.5,0.04,0.14,0.18,0.32,1,49
2024-25,7,8,Jakub Kiwior,DEF,Arsenal,1,17,1,2024-10-05T14:00:00Z,1,1,0,0,0,0,0,3,2.4,0.3,0.0,0.3,0.0,0.0,0.0,0.04,0,48
2024-25,7,9,Gabriel Martinelli Silva,MID,Arsenal,1,17,1,2024-10-05T14:00:00Z,30,6,1,0,0,0,0,27,35.8,4.3,37.0,7.7,0.41,0.04,0.45,0.33,0,70
2024-25,7,10,Reiss Nelson,MID,Fulham,9,13,0,2024-10-05T14:00:00Z,13,4,0,1,0,1,0,15,16.2,11.5,2.0,3.0,0.0,0.17,0.17,0.23,0,50
2024-25,7,11,Eddie Nketiah,FWD,Crystal Palace,7,12,1,2024-10-05T11:30:00Z,90,1,0,0,0,1,0,8,5.6,1.3,7.0,1.4,0.07,0.01,0.08,1.4,1,59
