season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2024-25,29,1,Fábio Ferreira Vieira,MID,Arsenal,1,6,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2024-25,29,2,Gabriel Fernando de Jesus,FWD,Arsenal,1,6,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,65
2024-25,29,3,Gabriel dos Santos Magalhães,DEF,Arsenal,1,6,1,2025-03-16T13:30:00Z,90,5,0,0,1,0,0,25,17.2,0.9,0.0,1.8,0.0,0.01,0.01,0.36,1,64
2024-25,29,4,Kai Havertz,FWD,Arsenal,1,6,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77
2024-25,29,5,Karl Hein,GK,Arsenal,1,6,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2024-25,29,6,Jurriën Timber,DEF,Arsenal,1,6,1,2025-03-16T13:30:00Z,90,9,0,0,1,0,3,27,12.0,2.3,8.0,2.2,0.0,0.02,0.02,0.36,1,56
2024-25,29,7,Jorge Luiz Frello Filho,MID,Arsenal,1,6,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47
2024-25,29,8,Jakub Kiwior,DEF,Arsenal,1,6,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48
2024-25,29,9,Gabriel Martinelli Silva,MID,Arsenal,1,6,1,2025-03-16T13:30:00Z,78,3,0,0,1,0,0,8,10.0,27.7,32.0,7.0,0.08,0.09,0.17,0.26,1,65
2024-25,29,10,Reiss Nelson,MID,Fulham,9,18,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
