season,gw,fixture,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2025-26,18,171,1,David Raya Martín,GK,Arsenal,1,6,1,2025-12-27T15:00:00Z,90,2,0,0,0,1,0,11,21.8,10.0,0.0,3.2,0.0,0.0,0.0,0.85,1,60
2025-26,18,171,2,Kepa Arrizabalaga Revuelta,GK,Arsenal,1,6,1,2025-12-27T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41
2025-26,18,171,3,Karl Hein,GK,Arsenal,1,6,1,2025-12-27T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2025-26,18,171,4,Tommy Setford,GK,Arsenal,1,6,1,2025-12-27T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2025-26,18,171,5,Gabriel dos Santos Magalhães,DEF,Arsenal,1,6,1,2025-12-27T15:00:00Z,19,1,0,0,0,0,0,2,0.0,0.2,4.0,0.3,0.02,0.0,0.02,0.32,0,62
2025-26,18,171,6,William Saliba,DEF,Arsenal,1,6,1,2025-12-27T15:00:00Z,90,2,0,0,0,1,0,10,10.4,0.8,2.0,1.3,0.0,0.0,0.0,0.85,1,59
2025-26,18,171,7,Riccardo Calafiori,DEF,Arsenal,1,6,1,2025-12-27T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57
2025-26,18,171,8,Jurriën Timber,DEF,Arsenal,1,6,1,2025-12-27T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,65
2025-26,18,171,9,Jakub Kiwior,DEF,Arsenal,1,6,1,2025-12-27T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2025-26,18,171,10,Myles Lewis-Skelly,DEF,Arsenal,1,6,1,2025-12-27T15:00:00Z,70,1,0,0,0,1,0,4,7.4,2.1,4.0,1.4,0.0,0.01,0.01,0.54,1,51
