season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2025-26,7,1,David Raya Martín,GK,Arsenal,1,19,1,2025-10-04T14:00:00Z,90,6,0,0,1,0,0,20,3.2,0.0,0.0,0.3,0.0,0.0,0.0,0.49,1,56
2025-26,7,2,Kepa Arrizabalaga Revuelta,GK,Arsenal,1,19,1,2025-10-04T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2025-26,7,3,Karl Hein,GK,Arsenal,1,19,1,2025-10-04T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2025-26,7,4,Tommy Setford,GK,Arsenal,1,19,1,2025-10-04T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2025-26,7,5,Gabriel dos Santos Magalhães,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,90,9,0,0,1,0,1,33,24.6,2.0,2.0,2.9,0.0,0.03,0.03,0.49,1,62
2025-26,7,6,William Saliba,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,90,6,0,0,1,0,0,30,28.2,2.2,0.0,3.0,0.0,0.02,0.02,0.49,1,60
2025-26,7,7,Riccardo Calafiori,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,74,6,0,0,1,0,0,26,8.8,5.4,19.0,3.3,0.17,0.02,0.19,0.36,1,57
2025-26,7,8,Jurriën Timber,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,90,11,0,1,1,0,2,43,20.2,16.8,29.0,6.6,0.16,0.03,0.19,0.49,1,58
2025-26,7,9,Jakub Kiwior,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2025-26,7,10,Myles Lewis-Skelly,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,15,1,0,0,0,0,0,2,3.2,0.3,2.0,0.6,0.0,0.0,0.0,0.13,0,53
2025-26,7,11,Benjamin White,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2025-26,7,12,Oleksandr Zinchenko,DEF,Nott'm Forest,16,15,0,2025-10-05T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2025-26,7,13,Brayden Clarke,DEF,Arsenal,1,19,1,2025-10-04T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
