season,gw,fixture,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2025-26,15,141,1,David Raya Martín,GK,Arsenal,1,2,0,2025-12-06T12:30:00Z,90,2,0,0,0,2,0,13,35.2,0.0,0.0,3.5,0.0,0.0,0.0,2.16,1,59
2025-26,15,141,2,Kepa Arrizabalaga Revuelta,GK,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42
2025-26,15,141,3,Karl Hein,GK,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2025-26,15,141,4,Tommy Setford,GK,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2025-26,15,141,5,Gabriel dos Santos Magalhães,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,63
2025-26,15,141,6,William Saliba,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60
2025-26,15,141,7,Riccardo Calafiori,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,85,1,0,0,0,1,0,2,6.6,3.1,6.0,1.6,0.0,0.01,0.01,1.36,1,58
2025-26,15,141,8,Jurriën Timber,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,90,3,0,0,0,2,0,7,24.0,1.8,4.0,3.0,0.23,0.01,0.24,2.16,1,64
2025-26,15,141,9,Jakub Kiwior,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2025-26,15,141,10,Myles Lewis-Skelly,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,4,1,0,0,0,1,0,-1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0,51
2025-26,15,141,11,Benjamin White,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,90,1,0,0,0,2,0,18,24.0,17.6,23.0,6.5,0.32,0.26,0.58,2.16,1,53
2025-26,15,144,12,Oleksandr Zinchenko,DEF,Nott'm Forest,16,9,0,2025-12-06T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2025-26,15,141,13,Brayden Clarke,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38
2025-26,15,141,14,Maldini Kacurri,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2025-26,15,141,15,Josh Nichols,DEF,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38
2025-26,15,141,16,Bukayo Saka,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,78,4,0,1,0,1,0,18,12.6,46.3,36.0,9.5,0.58,0.31,0.89,1.32,1,101
2025-26,15,141,17,Martin Ødegaard,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,90,2,0,0,0,2,0,21,25.8,36.2,27.0,8.9,0.14,0.15,0.29,2.16,1,78
2025-26,15,141,18,Noni Madueke,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,11,1,0,0,0,1,0,3,0.0,0.3,4.0,0.4,0.05,0.0,0.05,0.84,0,68
2025-26,15,141,19,Gabriel Martinelli Silva,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,4,1,0,0,0,1,0,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0,68
2025-26,15,141,20,Leandro Trossard,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,40,6,1,0,0,0,0,23,37.0,0.6,58.0,9.6,0.46,0.01,0.47,0.49,0,69
2025-26,15,141,21,Declan Rice,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,90,6,0,0,0,2,2,30,36.6,37.7,12.0,8.6,0.14,0.13,0.27,2.16,1,71
2025-26,15,141,22,Mikel Merino Zazón,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,45,1,0,0,0,1,0,4,4.0,1.6,2.0,0.8,0.0,0.01,0.01,0.87,1,60
2025-26,15,141,23,Fábio Ferreira Vieira,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2025-26,15,141,24,Christian Nørgaard,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52
2025-26,15,141,25,Ethan Nwaneri,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51
2025-26,15,141,26,Martín Zubimendi Ibáñez,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,90,2,0,0,0,2,0,14,13.2,2.8,0.0,1.6,0.0,0.02,0.02,2.16,1,53
2025-26,15,149,27,Reiss Nelson,MID,Brentford,5,18,0,2025-12-06T15:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48
2025-26,15,141,28,Ismeal Kabia,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2025-26,15,141,29,Albert Sambi Lokonga,MID,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2025-26,15,141,30,Kai Havertz,FWD,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73
2025-26,15,141,31,Gabriel Fernando de Jesus,FWD,Arsenal,1,2,0,2025-12-06T12:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64
