season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2023-24,22,1,Folarin Balogun,FWD,Arsenal,1,16,0,2024-01-30T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,22,2,Cédric Alves Soares,DEF,Arsenal,1,16,0,2024-01-30T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,22,3,Mohamed Elneny,MID,Arsenal,1,16,0,2024-01-30T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,22,4,Fábio Ferreira Vieira,MID,Arsenal,1,16,0,2024-01-30T19:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2023-24,22,5,Gabriel dos Santos Magalhães,DEF,Arsenal,1,16,0,2024-01-30T19:30:00Z,90,2,0,0,0,1,0,12,19.6,8.9,0.0,2.9,0.0,0.04,0.04,0.4,1,50
2023-24,22,6,Kai Havertz,MID,Arsenal,1,16,0,2024-01-30T19:30:00Z,19,1,0,0,0,1,0,4,5.6,10.6,2.0,1.8,0.0,0.0,0.0,0.32,0,71
2023-24,22,7,Rob Holding,DEF,Crystal Palace,8,17,1,2024-01-30T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,22,8,Gabriel Fernando de Jesus,FWD,Arsenal,1,16,0,2024-01-30T19:30:00Z,77,10,1,1,1,0,2,31,53.0,33.8,83.0,17.0,0.43,0.16,0.59,0.09,1,80
2023-24,22,9,Jorge Luiz Frello Filho,MID,Arsenal,1,16,0,2024-01-30T19:30:00Z,1,1,0,0,0,0,0,3,0.4,0.3,0.0,0.1,0.0,0.0,0.0,0.15,0,53
2023-24,22,10,Jakub Kiwior,DEF,Arsenal,1,16,0,2024-01-30T19:30:00Z,1,1,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0,43
